[2025-06-22 18:11:56]   79 | DEBUG    | Dropping unnecessary columns post transformation...
[2025-06-22 18:11:56]   84 | INFO     | Feature engineering completed. Returning transformed dataframe.
[2025-06-22 18:11:57]   69 | INFO     | Feature engineered data saved at: C:\Projects\Zomato-Delivery-Time-Prediction\batch_prediction\feature_eng\feature_engineered.csv
[2025-06-22 18:11:57]   74 | INFO     | Dropped target column 'Time_taken (min)' from features.
[2025-06-22 18:11:57]   79 | INFO     | Data after dropping target saved at: C:\Projects\Zomato-Delivery-Time-Prediction\batch_prediction\transformed\features_dropped_target.csv
[2025-06-22 18:11:57]   82 | INFO     | Applying preprocessing transformation...
[2025-06-22 18:11:57]   84 | INFO     | Preprocessing completed. Transformed shape: (41944, 42)
[2025-06-22 18:11:57]   87 | INFO     | Generating predictions...
[2025-06-22 18:11:59]   95 | INFO     | Batch predictions saved to: C:\Projects\Zomato-Delivery-Time-Prediction\batch_prediction\prediction_csv\output.csv
[2025-06-22 18:11:59]   97 | INFO     | Batch prediction pipeline completed successfully.
[2025-06-22 18:11:59]   96 | INFO     | Batch prediction completed.
[2025-06-22 18:15:34]  110 | INFO     | Starting training pipeline...
[2025-06-22 18:15:34]   15 | INFO     | Starting the Pipeline...
[2025-06-22 18:15:34]   17 | INFO     | Starting data ingestion...
[2025-06-22 18:15:34]   68 | INFO     | Running the Data Ingestion Pipeline...
[2025-06-22 18:15:34]   24 | INFO     | Data Ingestion process started.
[2025-06-22 18:15:34]   25 | DEBUG    | Configuration used: DataIngestionConfig(raw_data_path='C:\\Projects\\Zomato-Delivery-Time-Prediction\\Artifacts\\Data_Ingestion\\raw_data.csv', train_data_path='C:\\Projects\\Zomato-Delivery-Time-Prediction\\Artifacts\\Data_Ingestion\\train.csv', test_data_path='C:\\Projects\\Zomato-Delivery-Time-Prediction\\Artifacts\\Data_Ingestion\\test.csv', data_link='https://github.com/ArpitKadam/Zomato-Delivery-Time-Prediction/raw/refs/heads/main/Research/data.csv')
[2025-06-22 18:15:34]   29 | DEBUG    | Ensured directory exists for raw data path: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Ingestion\raw_data.csv
[2025-06-22 18:15:34]   32 | INFO     | Downloading data from https://github.com/ArpitKadam/Zomato-Delivery-Time-Prediction/raw/refs/heads/main/Research/data.csv
[2025-06-22 18:15:41]   14 | INFO     | Data downloaded successfully from https://github.com/ArpitKadam/Zomato-Delivery-Time-Prediction/raw/refs/heads/main/Research/data.csv and saved to C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Ingestion\raw_data.csv
[2025-06-22 18:15:41]   34 | INFO     | Data downloaded successfully.
[2025-06-22 18:15:41]   37 | DEBUG    | Reading the raw CSV data...
[2025-06-22 18:15:41]   39 | INFO     | Raw data read successfully with shape: (45584, 20)
[2025-06-22 18:15:41]   42 | INFO     | Splitting raw data into training and test sets...
[2025-06-22 18:15:41]   44 | INFO     | Data split: Train Shape = (36467, 20), Test Shape = (9117, 20)
[2025-06-22 18:15:41]   49 | DEBUG    | Output directories verified.
[2025-06-22 18:15:42]   53 | INFO     | Train data saved at: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Ingestion\train.csv
